company,screen_name,country,continent
saudi arabia oil,Aramco,saudi arabia,asia
lukoil,lukoilengl,russia,asia
rosfnet,RosneftEN,russia,asia
gazprom,GazpromEN,russia,asia
shell,Shell,netherlands,europe
total,Total,france,europe
exxon mobil,exxonmobil,us,america
conoco phillips,conocophillips,us,america
Oil and Natural Gas Corporation Limited ,ONGC_,india,asia
Sinopec,SinopecNews,china,asia
Philips 66,Phillips66Co,us,america
valero,ValeroEnergy,us,america
petrobras,petrobrasglobal,brazil,america
edf,EDF_Europe,france,europe
edf renewables,EDF_Renewables,france,europe
edf GB,edfenergy,uk,europe
Indian Oil Corp,IndianOilcl,india,asia
Southern Company,SouthernCompany,us,america
Canadian Natural,CanadianNatural,canada,america
Enbridge,Enbridge,us,america
gazprom international,gazprom_int,russia,asia
Europa oil and gas,Europaoilandgas,uk,europe
Exelon,Exelon,us,america
Marathon Petro Co,MarathonPetroCo,us,america
next era energy,nexteraenergy,us,america
Suncor,Suncor,canada,america
bp,bp_plc,uk,europe
Duke Energy,DukeEnergy,us,america
Chevron,Chevron,us,america
Enel,EnelGroup,italy,europe
Equinor,Equinor,norway,europe
State Grid,SGCCofficial,china,asia
cenovus,cenovus,us,america
CoalIndiaHQ,CoalIndiaHQ,india,asia
America electric power,AEPnews,us,america
uniper,uniper_energy,germany,europe
hindustan,HPCL,india,asia
National Grid,Grid_Media,uk,europe
NRG Energy,nrgenergy,us,america
Kinder Morgan,Kinder_Morgan,us,america
Xcel,xcelenergy,us,america
Entergy,Entergy,us,america
Southern California Edison,SCE,us,america
Edison Energy,Edison_Energy,us,america
Sempra Energy,SempraEnergy,us,america
PPL Corp,PPLCorp,us,america
PPL Electric,PPLElectric,us,america
Engie,ENGIEgroup,france,europe
Fortum,Fortum,finland,europe
Veolia,Veolia,france,europe
Orsted,Orsted,denmark,europe
Eni,eni,italy,europe
